Path:HepData/ggFttH_VBFVH_lvlv
profiled Likelihood
x: #mu^{f}_{ggF+ttH}
y: #mu^{f}_{VBF+VH}
z: -2 ln (#Lambda)
x	y	z	
1.62500000e+00	-7.20000000e-02	8.82160520e+00	
1.67500000e+00	-7.20000000e-02	9.14131300e+00	
1.72500000e+00	-7.20000000e-02	9.49576740e+00	
1.77500000e+00	-7.20000000e-02	9.84647640e+00	
1.82500000e+00	-7.20000000e-02	1.02214800e+01	
1.87500000e+00	-7.20000000e-02	1.06259618e+01	
1.92500000e+00	-7.20000000e-02	1.10212418e+01	
1.97500000e+00	-7.20000000e-02	1.14503920e+01	
2.02500000e+00	-7.20000000e-02	1.18710374e+01	
2.07500000e+00	-7.20000000e-02	1.23175522e+01	
2.12500000e+00	-7.20000000e-02	1.27793312e+01	
2.17500000e+00	-7.20000000e-02	1.32286614e+01	
2.22500000e+00	-7.20000000e-02	1.37035862e+01	
2.27500000e+00	-7.20000000e-02	1.41999790e+01	
-1.75000000e-01	4.00000000e-02	1.83459318e+01	
-1.25000000e-01	4.00000000e-02	1.73066238e+01	
-7.50000000e-02	4.00000000e-02	1.62803574e+01	
-2.50000000e-02	4.00000000e-02	1.53015606e+01	
2.50000000e-02	4.00000000e-02	1.43616882e+01	
7.50000000e-02	4.00000000e-02	1.34635848e+01	
1.25000000e-01	4.00000000e-02	1.26151848e+01	
1.75000000e-01	4.00000000e-02	1.18015572e+01	
2.25000000e-01	4.00000000e-02	1.10417052e+01	
2.75000000e-01	4.00000000e-02	1.03316236e+01	
3.25000000e-01	4.00000000e-02	9.67252060e+00	
3.75000000e-01	4.00000000e-02	9.06615940e+00	
4.25000000e-01	4.00000000e-02	8.51079340e+00	
4.75000000e-01	4.00000000e-02	8.00877480e+00	
5.25000000e-01	4.00000000e-02	7.55922140e+00	
5.75000000e-01	4.00000000e-02	7.16139640e+00	
6.25000000e-01	4.00000000e-02	6.81506540e+00	
6.75000000e-01	4.00000000e-02	6.51733360e+00	
7.25000000e-01	4.00000000e-02	6.26850240e+00	
7.75000000e-01	4.00000000e-02	6.06621220e+00	
8.25000000e-01	4.00000000e-02	5.90577640e+00	
8.75000000e-01	4.00000000e-02	5.79815120e+00	
9.25000000e-01	4.00000000e-02	5.72197240e+00	
9.75000000e-01	4.00000000e-02	5.69254260e+00	
1.02500000e+00	4.00000000e-02	5.69304020e+00	
1.07500000e+00	4.00000000e-02	5.73310640e+00	
1.12500000e+00	4.00000000e-02	5.80303100e+00	
1.17500000e+00	4.00000000e-02	5.91210080e+00	
1.22500000e+00	4.00000000e-02	6.04792800e+00	
1.27500000e+00	4.00000000e-02	6.21238100e+00	
1.32500000e+00	4.00000000e-02	6.40371600e+00	
1.37500000e+00	4.00000000e-02	6.61792680e+00	
1.42500000e+00	4.00000000e-02	6.86243440e+00	
1.47500000e+00	4.00000000e-02	7.13262860e+00	
1.52500000e+00	4.00000000e-02	7.41288140e+00	
1.57500000e+00	4.00000000e-02	7.71775320e+00	
1.62500000e+00	4.00000000e-02	8.05250500e+00	
1.67500000e+00	4.00000000e-02	8.39023440e+00	
1.72500000e+00	4.00000000e-02	8.75914960e+00	
1.77500000e+00	4.00000000e-02	9.12855400e+00	
1.82500000e+00	4.00000000e-02	9.52029480e+00	
1.87500000e+00	4.00000000e-02	9.93866440e+00	
1.92500000e+00	4.00000000e-02	1.03518064e+01	
1.97500000e+00	4.00000000e-02	1.07949050e+01	
2.02500000e+00	4.00000000e-02	1.12330180e+01	
2.07500000e+00	4.00000000e-02	1.16940978e+01	
2.12500000e+00	4.00000000e-02	1.21702948e+01	
2.17500000e+00	4.00000000e-02	1.26383846e+01	
2.22500000e+00	4.00000000e-02	1.31281490e+01	
2.27500000e+00	4.00000000e-02	1.36382754e+01	
-1.75000000e-01	1.52000000e-01	1.71423088e+01	
-1.25000000e-01	1.52000000e-01	1.61093852e+01	
-7.50000000e-02	1.52000000e-01	1.50971942e+01	
-2.50000000e-02	1.52000000e-01	1.41290618e+01	
2.50000000e-02	1.52000000e-01	1.32002468e+01	
7.50000000e-02	1.52000000e-01	1.23135600e+01	
1.25000000e-01	1.52000000e-01	1.14763002e+01	
1.75000000e-01	1.52000000e-01	1.06754838e+01	
2.25000000e-01	1.52000000e-01	9.92818280e+00	
2.75000000e-01	1.52000000e-01	9.23107120e+00	
3.25000000e-01	1.52000000e-01	8.58532320e+00	
3.75000000e-01	1.52000000e-01	7.99359820e+00	
4.25000000e-01	1.52000000e-01	7.45139380e+00	
4.75000000e-01	1.52000000e-01	6.96369860e+00	
5.25000000e-01	1.52000000e-01	6.52888300e+00	
5.75000000e-01	1.52000000e-01	6.14599820e+00	
6.25000000e-01	1.52000000e-01	5.81440540e+00	
6.75000000e-01	1.52000000e-01	5.53246840e+00	
7.25000000e-01	1.52000000e-01	5.29899580e+00	
7.75000000e-01	1.52000000e-01	5.11256540e+00	
8.25000000e-01	1.52000000e-01	4.97065620e+00	
8.75000000e-01	1.52000000e-01	4.88678100e+00	
9.25000000e-01	1.52000000e-01	4.81597520e+00	
9.75000000e-01	1.52000000e-01	4.80347000e+00	
1.02500000e+00	1.52000000e-01	4.81896160e+00	
1.07500000e+00	1.52000000e-01	4.87483180e+00	
1.12500000e+00	1.52000000e-01	4.96369820e+00	
1.17500000e+00	1.52000000e-01	5.08592900e+00	
1.22500000e+00	1.52000000e-01	5.23768860e+00	
1.27500000e+00	1.52000000e-01	5.41802620e+00	
1.32500000e+00	1.52000000e-01	5.62533640e+00	
1.37500000e+00	1.52000000e-01	5.85595920e+00	
1.42500000e+00	1.52000000e-01	6.11540300e+00	
1.47500000e+00	1.52000000e-01	6.39912940e+00	
1.52500000e+00	1.52000000e-01	6.69701540e+00	
1.57500000e+00	1.52000000e-01	7.01696220e+00	
1.62500000e+00	1.52000000e-01	7.36653680e+00	
1.67500000e+00	1.52000000e-01	7.72041760e+00	
1.72500000e+00	1.52000000e-01	8.10234300e+00	
1.77500000e+00	1.52000000e-01	8.48922460e+00	
1.82500000e+00	1.52000000e-01	8.89631940e+00	
1.87500000e+00	1.52000000e-01	9.32805140e+00	
1.92500000e+00	1.52000000e-01	9.75701280e+00	
1.97500000e+00	1.52000000e-01	1.02127896e+01	
2.02500000e+00	1.52000000e-01	1.06670494e+01	
2.07500000e+00	1.52000000e-01	1.11413242e+01	
2.12500000e+00	1.52000000e-01	1.16333236e+01	
2.17500000e+00	1.52000000e-01	1.21411820e+01	
2.22500000e+00	1.52000000e-01	1.26487170e+01	
2.27500000e+00	1.52000000e-01	1.31394676e+01	
-1.75000000e-01	2.64000000e-01	1.60359052e+01	
-1.25000000e-01	2.64000000e-01	1.50095694e+01	
-7.50000000e-02	2.64000000e-01	1.40124344e+01	
-2.50000000e-02	2.64000000e-01	1.30554954e+01	
2.50000000e-02	2.64000000e-01	1.21381824e+01	
7.50000000e-02	2.64000000e-01	1.12633324e+01	
1.25000000e-01	2.64000000e-01	1.04471044e+01	
1.75000000e-01	2.64000000e-01	9.64979860e+00	
2.25000000e-01	2.64000000e-01	8.91521900e+00	
2.75000000e-01	2.64000000e-01	8.23119660e+00	
3.25000000e-01	2.64000000e-01	7.59884040e+00	
3.75000000e-01	2.64000000e-01	7.02946520e+00	
4.25000000e-01	2.64000000e-01	6.49254420e+00	
4.75000000e-01	2.64000000e-01	6.01891240e+00	
5.25000000e-01	2.64000000e-01	5.59861220e+00	
5.75000000e-01	2.64000000e-01	5.23030660e+00	
6.25000000e-01	2.64000000e-01	4.91168940e+00	
6.75000000e-01	2.64000000e-01	4.64640520e+00	
7.25000000e-01	2.64000000e-01	4.42760980e+00	
7.75000000e-01	2.64000000e-01	4.25654660e+00	
8.25000000e-01	2.64000000e-01	4.15283060e+00	
8.75000000e-01	2.64000000e-01	4.05503280e+00	
