Path:HepData/ggFttH_VBFVH_2ph
profiled Likelihood
x: #mu^{f}_{ggF+ttH}
y: #mu^{f}_{VBF+VH}
z: -2 ln (#Lambda)
x	y	z	
1.72600000e+00	-5.00000000e-02	6.90949600e+00	
1.77800000e+00	-5.00000000e-02	6.79582400e+00	
1.83000000e+00	-5.00000000e-02	6.72126200e+00	
1.88200000e+00	-5.00000000e-02	6.68448000e+00	
1.93400000e+00	-5.00000000e-02	6.68298000e+00	
1.98600000e+00	-5.00000000e-02	6.71351600e+00	
2.03800000e+00	-5.00000000e-02	6.77375600e+00	
2.09000000e+00	-5.00000000e-02	6.86186800e+00	
2.14200000e+00	-5.00000000e-02	6.97779400e+00	
2.19400000e+00	-5.00000000e-02	7.11970000e+00	
2.24600000e+00	-5.00000000e-02	7.28530400e+00	
2.29800000e+00	-5.00000000e-02	7.47256800e+00	
2.35000000e+00	-5.00000000e-02	7.68125400e+00	
2.40200000e+00	-5.00000000e-02	7.91144000e+00	
2.45400000e+00	-5.00000000e-02	8.16026400e+00	
2.50600000e+00	-5.00000000e-02	8.42760600e+00	
2.55800000e+00	-5.00000000e-02	8.71149200e+00	
2.61000000e+00	-5.00000000e-02	9.01192800e+00	
2.66200000e+00	-5.00000000e-02	9.32964400e+00	
2.71400000e+00	-5.00000000e-02	9.65999600e+00	
2.76600000e+00	-5.00000000e-02	1.00052620e+01	
2.81800000e+00	-5.00000000e-02	1.03624120e+01	
2.87000000e+00	-5.00000000e-02	1.07322880e+01	
2.92200000e+00	-5.00000000e-02	1.11163340e+01	
2.97400000e+00	-5.00000000e-02	1.15083140e+01	
4.26000000e-01	5.00000000e-02	3.18392460e+01	
4.78000000e-01	5.00000000e-02	2.96249980e+01	
5.30000000e-01	5.00000000e-02	2.74863000e+01	
5.82000000e-01	5.00000000e-02	2.54480760e+01	
6.34000000e-01	5.00000000e-02	2.35140940e+01	
6.86000000e-01	5.00000000e-02	2.16964500e+01	
7.38000000e-01	5.00000000e-02	1.99986000e+01	
7.90000000e-01	5.00000000e-02	1.84209640e+01	
8.42000000e-01	5.00000000e-02	1.69643700e+01	
8.94000000e-01	5.00000000e-02	1.56251100e+01	
9.46000000e-01	5.00000000e-02	1.44006220e+01	
9.98000000e-01	5.00000000e-02	1.32826240e+01	
1.05000000e+00	5.00000000e-02	1.22673540e+01	
